X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;D1
430;84;0;5;0;3;1;6;0;1;0;0;690
180;100;0;3;1;4;0;7;0;1;0;0;460
30;87;0;5;0;3;0;5;1;0;1;0;290
150;99;0;0;0;3;1;7;1;1;0;2;400
380;97;0;4;0;1;0;6;1;1;1;0;290
62;100;0;5;0;4;1;5;1;0;1;0;40
300;102;0;0;1;2;1;6;1;1;0;1;140
120;119;0;5;0;3;0;6;1;1;1;5;230
200;99;0;5;0;4;1;7;1;0;1;0;870
250;90;0;0;0;3;1;6;0;1;0;0;410
170;90;0;0;1;2;1;5;1;1;1;2;150
170;145;0;4;0;1;0;6;1;1;1;0;3
250;92;0;0;1;2;1;6;1;0;0;0;570
350;100;0;4;0;3;0;6;0;1;0;0;870
340;81;0;0;0;3;0;7;1;1;1;0;300
300;87;0;0;0;1;0;3;0;1;0;0;850
25;98;0;4;0;3;0;6;0;0;0;0;140
220;104;0;4;0;2;1;6;1;0;1;0;100
350;124;0;0;1;2;1;7;1;1;0;2;140
77;86;0;5;0;4;0;7;1;0;0;0;430
390;125;0;0;0;4;1;7;1;1;1;0;590
70;94;0;0;0;2;1;6;1;1;0;0;62
320;102;0;1;0;4;1;5;0;0;1;0;790
110;81;0;1;0;0;0;6;0;0;1;0;720
350;93;0;4;0;0;0;6;0;0;1;4;950
420;90;0;0;1;0;0;7;1;1;0;1;600
280;94;0;4;0;4;0;5;1;1;0;0;660
230;89;0;0;0;4;1;7;1;1;0;0;510
300;94;0;0;0;4;0;7;1;0;0;4;570
6;87;0;5;0;4;0;3;0;1;1;3;1
290;83;0;0;0;4;1;7;1;1;0;0;300
160;110;0;4;0;3;0;6;1;1;0;1;270
300;95;0;0;1;2;1;5;1;1;1;0;510
100;86;0;0;0;3;1;7;0;0;1;0;110
350;91;0;0;0;3;0;6;1;1;0;2;100
150;88;0;0;0;4;1;6;0;1;0;0;130
160;80;0;4;0;4;0;5;0;0;1;0;430
250;97;0;3;0;3;0;6;0;0;0;0;710
300;97;0;0;0;3;1;7;0;1;1;0;330
400;102;0;0;0;3;1;6;1;1;0;2;380
100;93;0;0;0;4;1;7;1;0;1;0;390
100;92;0;0;0;3;0;5;0;1;0;0;660
200;108;0;0;1;3;1;6;1;1;1;2;280
5;86;0;4;0;2;0;4;1;1;1;0;100
170;86;0;0;0;0;0;6;1;1;1;0;430
300;107;0;0;0;4;1;7;0;0;0;0;93
410;88;0;3;0;4;0;6;1;1;1;0;340
400;91;0;5;0;3;1;6;1;1;0;0;270
350;106;0;3;0;3;0;7;1;1;1;1;820
100;97;0;0;0;3;1;6;1;0;0;0;530
500;97;0;4;0;0;0;7;1;1;0;0;400
230;91;0;4;0;2;1;5;1;1;0;2;6
300;88;0;0;0;2;1;5;0;0;0;0;310
9;92;0;0;1;0;0;6;0;1;0;0;85
